season,id,name,position,team,conference,countablePlays,averagePPA.all,averagePPA.pass,averagePPA.rush,averagePPA.firstDown,averagePPA.secondDown,averagePPA.thirdDown,averagePPA.standardDowns,averagePPA.passingDowns,totalPPA.all,totalPPA.pass,totalPPA.rush,totalPPA.firstDown,totalPPA.secondDown,totalPPA.thirdDown,totalPPA.standardDowns,totalPPA.passingDowns
2021,4360083,Tavion Thomas,RB,Utah,Pac-12,203,0.328,-0.467,0.34,0.121,0.34,0.889,0.309,0.4,66.613,-1.4,68.013,11.901,25.124,25.772,49.411,17.202
2021,4360131,Holton Ahlers,QB,East Carolina,American Athletic,508,0.329,0.303,0.472,0.128,0.283,0.468,0.302,0.363,167.193,129.867,37.325,23.23,44.753,66.99,85.857,81.336
2021,4257253,Bryce Mitchell,WR,Toledo,Mid-American,30,0.329,0.286,1.569,0.29,0.663,0.306,0.386,0.172,9.863,8.295,1.569,2.903,5.967,2.14,8.484,1.379
2021,4372507,Jack Cravaack,TE,Purdue,Big Ten,1,0.329,0.329,,0.329,,,0.329,,0.329,0.329,,0.329,,,0.329,
2021,4360176,Ike Ogbogu,QB,Houston,American Athletic,43,0.329,0.462,-0.25,-0.082,0.443,0.537,0.023,0.754,14.163,16.164,-2.001,-0.983,7.096,8.05,0.587,13.576
2021,4690977,Donovan Smith,QB,Texas Tech,Big 12,188,0.329,0.408,0.085,0.038,0.486,0.538,0.236,0.464,61.87,57.964,3.906,2.512,30.591,26.363,26.159,35.711
2021,4239714,Kyle Vantrease,QB,Buffalo,Mid-American,226,0.33,0.293,0.935,-0.042,0.495,0.706,0.179,0.507,74.536,62.379,12.158,-3.571,31.694,49.433,21.807,52.729
2021,4428993,Haynes King,QB,Texas A&M,SEC,40,0.331,0.275,0.838,-0.047,-0.156,1.619,-0.249,1.116,13.248,9.898,3.35,-0.753,-2.189,16.19,-5.728,18.976
2021,4687555,Isaiah Garcia-Castaneda,WR,New Mexico State,FBS Independents,73,0.333,0.335,0.198,0.507,0.314,0.309,0.441,0.188,24.344,24.145,0.198,16.746,5.973,5.871,18.517,5.827
2021,4372019,Jerome Ford,RB,Cincinnati,American Athletic,235,0.334,0.408,0.327,0.299,0.322,0.474,0.342,0.29,78.547,8.979,69.569,37.057,24.771,13.736,68.119,10.428
